,precision,recall,f1-score,support
0,0.5265392781316348,0.29073856975381007,0.37462235649546827,853.0
1,0.6176470588235294,0.7867975022301517,0.6920360925853276,2242.0
2,0.38294314381270905,0.3397626112759644,0.360062893081761,674.0
3,0.20588235294117646,0.04516129032258064,0.07407407407407407,155.0
4,0.21052631578947367,0.03361344537815126,0.057971014492753624,476.0
5,0.3333333333333333,0.01818181818181818,0.034482758620689655,55.0
6,0.43243243243243246,0.3076923076923077,0.3595505617977528,52.0
7,0.10782608695652174,0.43356643356643354,0.17270194986072424,143.0
accuracy,,,0.5038709677419355,4650.0
macro avg,0.35214125027760135,0.2819392473001522,0.26568771262606894,4650.0
weighted avg,0.4904016409321887,0.5038709677419355,0.47271944596812526,4650.0
